[2022/04/27 05:48:02] - Namespace(batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_vgg16', lr=0.01, model='vgg16', momentum=0.9, normalization='std', num_steps=5, omega=0.001, out_dir='fat_out', rand_init=True, save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/04/27 05:48:04] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/04/27 06:20:13] - 21 	 81.1 	 	 0.0100 	 1.3025 	 5 	 0.7301 	 0.3934
[2022/04/27 06:21:41] - 22 	 81.8 	 	 0.0100 	 1.2907 	 5 	 0.7012 	 0.4070
[2022/04/27 06:23:08] - 23 	 81.3 	 	 0.0100 	 1.2808 	 5 	 0.7254 	 0.3922
[2022/04/27 06:24:37] - 24 	 83.0 	 	 0.0010 	 1.1815 	 5 	 0.7590 	 0.4336
[2022/04/27 06:26:06] - 25 	 82.6 	 	 0.0010 	 1.1488 	 5 	 0.7664 	 0.4305
[2022/04/27 06:27:35] - 26 	 82.6 	 	 0.0010 	 1.1348 	 5 	 0.7668 	 0.4316
[2022/04/27 06:29:03] - 27 	 82.5 	 	 0.0010 	 1.1237 	 5 	 0.7660 	 0.4301
[2022/04/27 06:30:31] - 28 	 81.7 	 	 0.0010 	 1.1156 	 5 	 0.7613 	 0.4422
[2022/04/27 06:31:58] - 29 	 81.4 	 	 0.0010 	 1.1043 	 5 	 0.7656 	 0.4371
[2022/04/27 06:33:27] - 30 	 82.0 	 	 0.0010 	 1.0976 	 5 	 0.7660 	 0.4348
[2022/04/27 06:34:54] - 31 	 81.7 	 	 0.0010 	 1.0904 	 5 	 0.7699 	 0.4301
[2022/04/27 06:36:22] - 32 	 82.0 	 	 0.0010 	 1.0827 	 5 	 0.7742 	 0.4316
[2022/04/27 06:37:50] - 33 	 81.5 	 	 0.0010 	 1.0766 	 5 	 0.7676 	 0.4355
[2022/04/27 06:39:17] - 34 	 81.7 	 	 0.0010 	 1.0682 	 5 	 0.7719 	 0.4332
[2022/04/27 06:40:46] - 35 	 82.3 	 	 0.0010 	 1.0624 	 5 	 0.7750 	 0.4313
[2022/04/27 06:42:14] - 36 	 82.3 	 	 0.0010 	 1.0570 	 5 	 0.7695 	 0.4344
[2022/04/27 06:43:42] - 37 	 81.9 	 	 0.0010 	 1.0476 	 5 	 0.7703 	 0.4301
[2022/04/27 06:45:10] - 38 	 81.6 	 	 0.0010 	 1.0435 	 5 	 0.7723 	 0.4309
[2022/04/27 06:46:38] - 39 	 81.9 	 	 0.0001 	 1.0166 	 5 	 0.7793 	 0.4305
[2022/04/27 06:48:05] - 40 	 81.6 	 	 0.0001 	 1.0101 	 5 	 0.7789 	 0.4367
[2022/04/27 06:49:33] - 41 	 81.6 	 	 0.0001 	 1.0037 	 5 	 0.7801 	 0.4367
[2022/04/27 06:51:01] - 42 	 82.3 	 	 0.0001 	 1.0017 	 5 	 0.7812 	 0.4336
[2022/04/27 06:52:29] - 43 	 82.4 	 	 0.0001 	 0.9981 	 5 	 0.7824 	 0.4340
[2022/04/27 06:53:57] - 44 	 82.1 	 	 0.0001 	 0.9993 	 5 	 0.7781 	 0.4320
[2022/04/27 06:55:24] - 45 	 80.8 	 	 0.0001 	 0.9954 	 5 	 0.7836 	 0.4383
[2022/04/27 06:56:49] - 46 	 79.5 	 	 0.0001 	 0.9920 	 5 	 0.7809 	 0.4344
[2022/04/27 06:58:14] - 47 	 78.3 	 	 0.0001 	 0.9957 	 5 	 0.7797 	 0.4328
[2022/04/27 06:59:38] - 48 	 78.9 	 	 0.0001 	 0.9920 	 5 	 0.7773 	 0.4332
[2022/04/27 07:01:03] - 49 	 78.4 	 	 0.0001 	 0.9903 	 5 	 0.7781 	 0.4316
[2022/04/27 07:01:03] - Total train time: 67.9637 minutes
[2022/04/27 07:01:03] - Best checkpoint at 28, 0.4421875
