[2022/04/28 22:43:45] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_vgg16', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='vgg16', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/04/28 22:43:49] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/04/28 23:15:05] - 23 	 86.8 	 	 0.0100 	 1.4073 	 0.4628 	 0.7121	 2341.4634 	 0.4117
[2022/04/28 23:16:38] - 24 	 86.8 	 	 0.0010 	 1.3959 	 0.4646 	 0.7016	 2358.8777 	 0.4305
[2022/04/28 23:18:12] - 25 	 86.8 	 	 0.0010 	 1.2998 	 0.4989 	 0.7383	 2312.0308 	 0.4430
[2022/04/28 23:19:45] - 26 	 86.8 	 	 0.0010 	 1.2722 	 0.5063 	 0.7355	 2392.3752 	 0.4406
[2022/04/28 23:21:18] - 27 	 86.7 	 	 0.0010 	 1.2634 	 0.5102 	 0.7418	 2420.1582 	 0.4441
[2022/04/28 23:22:52] - 28 	 86.7 	 	 0.0010 	 1.2530 	 0.5118 	 0.7402	 2440.3132 	 0.4391
[2022/04/28 23:24:25] - 29 	 86.7 	 	 0.0010 	 1.2474 	 0.5161 	 0.7496	 2457.6709 	 0.4344
[2022/04/28 23:25:58] - 30 	 86.8 	 	 0.0010 	 1.2408 	 0.5174 	 0.7402	 2473.9043 	 0.4402
[2022/04/28 23:27:32] - 31 	 86.8 	 	 0.0010 	 1.2369 	 0.5203 	 0.7414	 2480.4973 	 0.4500
[2022/04/28 23:29:05] - 32 	 86.7 	 	 0.0010 	 1.2267 	 0.5228 	 0.7480	 2477.2529 	 0.4434
[2022/04/28 23:30:38] - 33 	 86.7 	 	 0.0010 	 1.2231 	 0.5230 	 0.7508	 2509.3633 	 0.4422
[2022/04/28 23:32:12] - 34 	 86.8 	 	 0.0010 	 1.2170 	 0.5250 	 0.7492	 2523.3711 	 0.4422
[2022/04/28 23:33:45] - 35 	 86.8 	 	 0.0010 	 1.2127 	 0.5278 	 0.7434	 2529.0811 	 0.4441
[2022/04/28 23:35:18] - 36 	 86.9 	 	 0.0010 	 1.2076 	 0.5266 	 0.7473	 2543.8098 	 0.4352
[2022/04/28 23:36:52] - 37 	 86.8 	 	 0.0010 	 1.2034 	 0.5272 	 0.7582	 2549.7654 	 0.4437
[2022/04/28 23:38:25] - 38 	 86.6 	 	 0.0010 	 1.1986 	 0.5293 	 0.7523	 2552.2927 	 0.4379
[2022/04/28 23:39:58] - 39 	 86.7 	 	 0.0001 	 1.1960 	 0.5308 	 0.7547	 2575.2139 	 0.4449
[2022/04/28 23:41:32] - 40 	 86.7 	 	 0.0001 	 1.1691 	 0.5400 	 0.7594	 2504.0371 	 0.4430
[2022/04/28 23:43:05] - 41 	 86.6 	 	 0.0001 	 1.1657 	 0.5375 	 0.7562	 2536.4897 	 0.4430
[2022/04/28 23:44:38] - 42 	 86.7 	 	 0.0001 	 1.1648 	 0.5394 	 0.7570	 2547.5312 	 0.4500
[2022/04/28 23:46:11] - 43 	 86.8 	 	 0.0001 	 1.1599 	 0.5417 	 0.7609	 2554.5198 	 0.4484
[2022/04/28 23:47:45] - 44 	 86.8 	 	 0.0001 	 1.1597 	 0.5403 	 0.7520	 2565.5283 	 0.4437
[2022/04/28 23:49:18] - 45 	 86.7 	 	 0.0001 	 1.1593 	 0.5405 	 0.7617	 2563.4009 	 0.4434
[2022/04/28 23:50:51] - 46 	 86.8 	 	 0.0001 	 1.1591 	 0.5429 	 0.7574	 2565.4263 	 0.4437
[2022/04/28 23:52:25] - 47 	 86.6 	 	 0.0001 	 1.1581 	 0.5429 	 0.7543	 2574.4795 	 0.4457
[2022/04/28 23:53:58] - 48 	 86.8 	 	 0.0001 	 1.1566 	 0.5397 	 0.7566	 2575.6987 	 0.4445
[2022/04/28 23:55:31] - 49 	 86.8 	 	 0.0001 	 1.1519 	 0.5424 	 0.7598	 2569.0291 	 0.4441
[2022/04/28 23:55:31] - Total train time: 66.2215 minutes
[2022/04/28 23:55:31] - Best checkpoint at 31, 0.45
